# equation of state: birch 3rd order.  chisq =   0.1762D-13
# a0 =  9.6568 a.u., k0 =   39 kbar, dk0 =  3.75 d2k0 = -0.083 emin =   -1.02865
# a0 =  5.11017 Ang, k0 =   3.9 GPa,  V0 =   450.27 (a.u.)^3,  V0 =   66.72 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.            Ry           Ry            Ry        GPa           Ry
#########################################################################
  8.80000      -1.02310      -1.02310     0.00000       1.86       -0.97995
  8.90000      -1.02446      -1.02446    -0.00000       1.53       -0.98770
  9.00000      -1.02559      -1.02559     0.00000       1.24       -0.99480
  9.10000      -1.02652      -1.02652    -0.00000       0.98       -1.00132
  9.20000      -1.02725      -1.02725    -0.00000       0.75       -1.00729
  9.30000      -1.02782      -1.02782     0.00000       0.55       -1.01275
  9.40000      -1.02823      -1.02823     0.00000       0.37       -1.01774
  9.50000      -1.02850      -1.02850    -0.00000       0.21       -1.02230
  9.60000      -1.02863      -1.02863     0.00000       0.07       -1.02645
  9.70000      -1.02864      -1.02864    -0.00000      -0.05       -1.03023
  9.80000      -1.02853      -1.02853    -0.00000      -0.16       -1.03367
  9.90000      -1.02832      -1.02832    -0.00000      -0.26       -1.03677
 10.00000      -1.02802      -1.02802     0.00000      -0.34       -1.03958
 10.10000      -1.02763      -1.02763    -0.00000      -0.41       -1.04210
 10.20000      -1.02716      -1.02716     0.00000      -0.48       -1.04437
 10.30000      -1.02662      -1.02662     0.00000      -0.53       -1.04639
 10.40000      -1.02602      -1.02602     0.00000      -0.58       -1.04818
 10.50000      -1.02535      -1.02535    -0.00000      -0.62       -1.04976
